"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.04.2022","4.669,01","4.703,00","4.724,50","4.660,00","2,87M","-0,97%"
"14.04.2022","4.714,73","4.714,50","4.759,00","4.705,00","3,26M","0,25%"
"13.04.2022","4.703,03","4.691,50","4.725,50","4.672,00","3,08M","0,09%"
"12.04.2022","4.698,78","4.701,00","4.717,00","4.643,00","3,59M","-0,14%"
"11.04.2022","4.705,55","4.737,50","4.764,00","4.702,00","3,38M","-0,57%"
"08.04.2022","4.732,65","4.769,00","4.819,00","4.718,50","3,38M","-0,89%"
"07.04.2022","4.775,08","4.735,00","4.800,00","4.717,00","3,45M","0,82%"
"06.04.2022","4.736,39","4.680,50","4.755,50","4.675,00","3,46M","1,07%"
"05.04.2022","4.686,25","4.626,00","4.705,00","4.613,00","3,38M","0,85%"
"04.04.2022","4.646,63","4.690,50","4.708,50","4.622,00","2,75M","-1,14%"
"01.04.2022","4.700,19","4.770,00","4.770,50","4.688,00","3,02M","-0,79%"
"31.03.2022","4.737,80","4.776,50","4.797,00","4.737,00","348,15K","-0,75%"
"30.03.2022","4.773,51","4.765,00","4.794,00","4.729,00","3,20M","0,15%"
"29.03.2022","4.766,51","4.743,50","4.788,50","4.721,00","3,81M","-0,15%"
"28.03.2022","4.773,76","4.747,00","4.825,50","4.740,00","3,45M","0,32%"
"25.03.2022","4.758,57","4.831,00","4.833,00","4.738,00","2,96M","-1,63%"
"24.03.2022","4.837,38","4.844,50","4.869,50","4.775,00","4,24M","-0,32%"
"23.03.2022","4.852,94","4.931,50","4.933,50","4.832,00","3,58M","-1,64%"
"22.03.2022","4.933,78","4.950,00","4.965,50","4.919,00","3,34M","-0,55%"
"21.03.2022","4.961,10","5.046,50","5.048,00","4.947,00","3,14M","-1,33%"
"18.03.2022","5.028,02","5.069,00","5.094,50","5.012,00","3,00M","-0,59%"
"17.03.2022","5.057,98","5.096,00","5.128,50","5.048,50","3,32M","-1,37%"
"16.03.2022","5.128,22","5.162,00","5.179,50","5.095,00","3,77M","-1,10%"
"15.03.2022","5.185,13","5.133,00","5.195,00","5.118,50","2,91M","0,48%"
"14.03.2022","5.160,13","5.084,50","5.166,00","5.064,50","3,03M","1,53%"
"11.03.2022","5.082,29","5.030,50","5.111,50","5.013,00","2,82M","0,68%"
"10.03.2022","5.048,19","5.059,00","5.106,50","5.041,00","3,01M","0,19%"
"09.03.2022","5.038,63","5.060,00","5.069,00","5.018,00","3,27M","-1,24%"
"08.03.2022","5.102,00","5.121,00","5.135,50","5.079,50","4,08M","-0,42%"
"07.03.2022","5.123,65","5.114,50","5.152,00","5.066,50","3,90M","0,17%"
"04.03.2022","5.114,85","5.089,50","5.139,00","5.064,50","3,63M","1,00%"
"03.03.2022","5.064,02","5.151,00","5.157,50","5.061,50","3,68M","-1,90%"
"02.03.2022","5.162,01","5.268,00","5.268,00","5.125,50","2,10M","0,44%"
"25.02.2022","5.139,40","5.113,00","5.140,00","5.078,00","288,12K","0,03%"
"24.02.2022","5.137,73","5.060,00","5.166,00","5.037,00","4,82M","2,71%"
"23.02.2022","5.002,30","5.050,50","5.055,50","4.997,50","3,48M","-1,37%"
"22.02.2022","5.071,57","5.102,00","5.106,50","5.050,00","3,34M","-0,65%"
"21.02.2022","5.104,68","5.140,50","5.163,00","5.081,50","2,67M","-0,79%"
"18.02.2022","5.145,37","5.176,00","5.178,00","5.113,00","3,09M","-0,70%"
"17.02.2022","5.181,68","5.165,00","5.193,50","5.138,00","2,65M","0,48%"
"16.02.2022","5.156,81","5.175,00","5.192,00","5.136,50","3,20M","-0,77%"
"15.02.2022","5.196,96","5.211,50","5.234,00","5.174,50","2,69M","-0,77%"
"14.02.2022","5.237,18","5.272,50","5.285,00","5.213,50","3,09M","-0,29%"
"11.02.2022","5.252,53","5.252,50","5.286,00","5.201,00","3,64M","-0,11%"
"10.02.2022","5.258,41","5.257,50","5.278,00","5.194,00","3,86M","0,30%"
"09.02.2022","5.242,73","5.275,00","5.315,00","5.237,50","3,02M","-0,96%"
"08.02.2022","5.293,39","5.295,00","5.316,00","5.277,50","2,53M","-0,06%"
"07.02.2022","5.296,62","5.345,00","5.352,00","5.278,50","2,65M","-1,13%"
"04.02.2022","5.356,88","5.329,50","5.381,00","5.311,50","2,63M","0,50%"
"03.02.2022","5.330,39","5.308,00","5.356,00","5.304,50","2,99M","0,21%"
"02.02.2022","5.319,06","5.300,00","5.350,00","5.290,50","2,87M","0,15%"
"01.02.2022","5.311,06","5.334,00","5.354,00","5.301,50","2,93M","-0,87%"
"31.01.2022","5.357,40","5.367,50","5.398,00","5.356,50","271,46K","-0,62%"
"28.01.2022","5.390,64","5.430,00","5.435,00","5.368,00","3,08M","-0,79%"
"27.01.2022","5.433,50","5.435,00","5.439,00","5.356,00","4,03M","0,41%"
"26.01.2022","5.411,08","5.433,00","5.472,50","5.397,00","3,56M","-0,76%"
"25.01.2022","5.452,52","5.506,00","5.528,50","5.435,00","2,95M","-1,02%"
"24.01.2022","5.508,92","5.487,00","5.533,50","5.476,50","3,33M","0,83%"
"21.01.2022","5.463,61","5.451,00","5.485,00","5.413,00","3,11M","1,14%"
"20.01.2022","5.402,28","5.460,00","5.474,00","5.390,00","3,29M","-1,46%"
"19.01.2022","5.482,36","5.560,00","5.567,00","5.451,50","3,35M","-1,94%"
"18.01.2022","5.590,84","5.551,50","5.599,00","5.521,00","2,85M","0,91%"
"17.01.2022","5.540,24","5.555,00","5.559,00","5.512,50","1,91M","-0,13%"
"14.01.2022","5.547,73","5.550,00","5.571,50","5.527,00","2,50M","0,18%"
"13.01.2022","5.537,57","5.573,00","5.577,00","5.521,00","3,04M","-0,38%"
"12.01.2022","5.558,63","5.604,50","5.624,50","5.542,50","3,17M","-0,99%"
"11.01.2022","5.614,20","5.679,50","5.701,00","5.588,50","3,04M","-1,62%"
"10.01.2022","5.706,75","5.673,50","5.720,00","5.657,50","2,26M","0,76%"
"07.01.2022","5.663,57","5.711,50","5.740,00","5.648,50","2,50M","-0,97%"
"06.01.2022","5.718,86","5.727,00","5.757,00","5.701,50","2,49M","0,04%"
"05.01.2022","5.716,50","5.715,00","5.757,00","5.675,50","2,78M","-0,13%"
"04.01.2022","5.723,90","5.704,50","5.746,50","5.672,50","2,68M","0,44%"
"03.01.2022","5.698,93","5.609,50","5.729,00","5.595,00","2,35M","2,12%"
